
	 INDEX



A
              a	:      5 9 27 38 45 53 116 123 129 146 147 152 168 1 4 20 21 22 23 33 34 35 36 49 68 69 72 80 88 89 90 92 93 94 97 99 100 101 103 104 109 122 128 133 139 140 141 157 164 178 179 181 184 196 198 
           aaah	:    178 
      abandoned	:    129 
         ablaze	:     72 
         aboard	:     16 
          about	:     77 141 
          above	:    104 
         across	:     16 130 
      adjusting	:    143 
        adjusts	:     94 
          after	:    129 155 
        against	:     10 21 186 
          agent	:    171 177 183 192 201 208 
         agents	:     15 
            ago	:      1 
          aided	:     96 
            aim	:     45 68 
            air	:     92 
         alcove	:    141 196 
       alderaan	:    198 
            all	:     56 120 121 
         almost	:    146 
          along	:     38 
           also	:    174 
         always	:    174 
     ambassador	:    190 
           amid	:    163 
             an	:    105 13 14 30 36 78 83 96 103 128 165 
            and	:     45 69 123 131 135 147 171 173 189 17 31 32 44 55 74 76 77 91 98 99 109 119 122 139 142 143 154 163 185 186 190 
          anger	:    199 
          angry	:     83 
        another	:     38 50 
       anything	:     24 
          apart	:    189 
        appears	:     98 
    approaching	:    200 
            are	:     99 174 209 32 56 107 137 150 157 167 172 
           area	:     48 
          armed	:    134 33 
        armored	:     13 70 120 
           arms	:     77 97 110 
         around	:    116 56 84 109 
            art	:     36 
          artoo	:     30 33 54 83 129 133 137 140 142 154 159 
             as	:      9 26 51 113 131 134 201 4 5 30 38 54 83 94 144 164 183 196 199 
    aspirations	:     90 
            ass	:    190 
       assister	:     81 
             at	:     31 38 43 44 173 94 140 146 
        attacks	:    139 
      attention	:    120 139 
           auto	:    103 
           away	:      1 121 
        awesome	:     20 116 



B
           back	:    175 23 
       backdrop	:      4 
          backs	:    121 
          baggy	:     92 
         barely	:     98 
           base	:     10 
       battered	:     32 95 
         battle	:     12 83 
       battling	:    148 
             be	:     42 52 98 135 148 151 
         beatup	:     97 
      beautiful	:    141 
        beeping	:     54 129 
          beeps	:    159 
           beer	:     45 
         before	:    140 
          begin	:     51 
         begins	:      9 110 184 
         behind	:    140 155 160 163 75 
          being	:     63 
        believe	:     70 71 
       believes	:     74 
           belt	:    101 
        beneath	:      6 
         better	:    108 80 
        between	:     69 
     bewildered	:    133 
            big	:    143 154 159 
        biggest	:    138 
          black	:      7 152 168 119 
      blackened	:    135 
          blast	:     38 69 
       blinding	:    117 
       blinking	:      5 
       blockade	:     22 28 62 66 114 126 131 161 194 
         bodies	:    163 
          bolts	:     73 
           both	:     32 
       bouncing	:     32 
     boundaries	:      3 
            box	:     45 
            boy	:     90 111 
          break	:    123 
         breath	:    119 
         bright	:     99 
          bring	:    190 
       bringing	:    206 
         broken	:    163 
         bronze	:     36 154 
          brown	:    171 201 
        burning	:      6 
            but	:     77 84 92 183 
             by	:     52 15 23 96 119 164 174 



C
              c	:     31 
           call	:     10 20 95 
            can	:    190 198 16 135 148 
        captain	:     45 
            car	:    171 
           card	:    128 
      carpeting	:    130 
        catches	:     99 
         caught	:     42 
        causing	:     25 
        ceiling	:    131 
          chair	:    147 
          chase	:    127 166 
         chases	:    155 
        choking	:    185 
         circle	:    109 
          civil	:      9 
          clank	:     55 
       clanking	:    139 
           claw	:     33 97 
